Animal,Jump_no,JH,DF-FTJ,FTJ-F,DF-F,H-FTJ,H-F,H.DF,H-FTJangle
A5,2,100,8.754324474,6.627284835,3.360384051,28.89424763,26.63926805,23.41724837,123.9063306
A5,3,100,9.122665455,7.082334432,3.423406783,28.20770994,26.75105278,23.6014354,244.1866779
A5,4,100,6.05616793,5.103605483,2.474993148,24.17350835,24.21687932,21.8593644,128.3849157
A5,5,100,7.59453547,6.518055692,2.673834886,26.70735509,26.38982399,23.85504108,121.5109972
A6,1,100,9.302338738,8.461862265,2.532924199,24.8147757,25.97965839,23.7904339,106.0331072
A6,2,100,10.11394957,9.62324067,2.947662973,26.44871462,28.06568866,25.3268701,109.0242738
A6,3,100,8.910312733,8.196237673,4.276532825,24.90847799,26.26879129,22.13403427,121.8044577
A6,4,100,8.43848215,7.441754968,3.47529711,26.07221801,27.00454615,23.75193973,125.1590607
A6,5,100,9.489276737,8.702440232,4.633783875,26.82337581,27.86898527,23.33366043,114.6053681
F1,1,100,8.965892315,7.975174606,3.389870941,27.64289741,28.4064583,25.22976579,124.7779347
F1,2,100,8.133636149,7.353812209,3.106589287,27.14791132,27.88037527,24.91480026,114.6482881
F1,3,100,8.098964687,7.07761344,3.722429986,27.11281832,28.19364519,24.67493789,123.7351661
F1,4,100,8.778316923,8.478355029,2.970754786,24.83977007,26.05945044,23.18106868,111.5884248
F1,5,100,7.088625325,6.543602066,3.066429357,24.84750975,26.6508301,23.7940124,114.1151113
M1,1,100,7.37514427,6.811374678,3.071304934,22.42980325,24.12574196,21.2751819,108.007351
M1,2,100,7.532142457,7.740899496,5.447391027,24.03943937,27.64928498,22.35526097,124.1037686
M1,3,100,9.219767568,8.717942991,3.370185158,25.39693574,25.91673253,22.61550338,113.42708
M1,4,100,6.694024201,6.824949304,3.242266029,22.64153091,25.60506522,22.51943112,121.7488551
M1,5,100,8.249809513,7.692551007,2.982994469,24.76103909,26.44713323,23.68509286,111.0675805
M2,1,100,8.756725073,8.602345552,2.41704882,28.01870247,29.92650746,27.61938801,112.1046065
M2,2,100,7.785699326,6.767391891,2.857489982,24.27462356,25.21520085,22.67202296,121.7390523
M2,3,100,7.96248686,7.386871124,2.4175773,22.83073974,24.24480254,22.06902467,115.9307639
M2,4,100,7.911523368,7.563673248,3.074888128,24.65254494,25.83055038,22.83631095,121.4059038
M2,5,100,8.04252678,7.729283861,2.077082569,25.08142931,26.48655366,24.54440965,112.7132384
A1,13,50,6.151969441,5.800381022,1.197064743,24.27535196,24.94330044,23.86185569,113.9069165
